TestTournament1;676;11;$(startingDate)';$(conclusionDate)';14;OPEN
TestTournament2;676;11;$(startingDate)';$(conclusionDate)';5;OPEN
TestTournament3;676;11;$(startingDate)';$(conclusionDate)';13;OPEN
TestTournament4;676;11;$(startingDate)';$(conclusionDate)';8;OPEN
TestTournament5;676;11;$(startingDate)';$(conclusionDate)';23;OPEN
TestTournament6;676;11;$(startingDate)';$(conclusionDate)';21;OPEN
TestTournament7;676;11;$(startingDate)';$(conclusionDate)';43;OPEN
TestTournament8;676;11;$(startingDate)';$(conclusionDate)';5;OPEN
TestTournament9;676;11;$(startingDate)';$(conclusionDate)';34;OPEN
TestTournament10;676;11;$(startingDate)';$(conclusionDate)';16;OPEN
TestTournament11;676;11;$(startingDate)';$(conclusionDate)';38;OPEN
TestTournament12;676;11;$(startingDate)';$(conclusionDate)';10;OPEN
TestTournament13;676;11;$(startingDate)';$(conclusionDate)';39;OPEN
TestTournament14;676;11;$(startingDate)';$(conclusionDate)';43;OPEN
TestTournament15;676;11;$(startingDate)';$(conclusionDate)';34;OPEN
TestTournament16;676;11;$(startingDate)';$(conclusionDate)';30;OPEN
TestTournament17;676;11;$(startingDate)';$(conclusionDate)';17;OPEN
TestTournament18;676;11;$(startingDate)';$(conclusionDate)';42;OPEN
TestTournament19;676;11;$(startingDate)';$(conclusionDate)';10;OPEN
TestTournament20;676;11;$(startingDate)';$(conclusionDate)';7;OPEN
TestTournament21;676;11;$(startingDate)';$(conclusionDate)';49;OPEN
TestTournament22;676;11;$(startingDate)';$(conclusionDate)';42;OPEN
TestTournament23;676;11;$(startingDate)';$(conclusionDate)';45;OPEN
TestTournament24;676;11;$(startingDate)';$(conclusionDate)';27;OPEN
TestTournament25;676;11;$(startingDate)';$(conclusionDate)';17;OPEN
TestTournament26;676;11;$(startingDate)';$(conclusionDate)';30;OPEN
TestTournament27;676;11;$(startingDate)';$(conclusionDate)';10;OPEN
TestTournament28;676;11;$(startingDate)';$(conclusionDate)';26;OPEN
TestTournament29;676;11;$(startingDate)';$(conclusionDate)';25;OPEN
TestTournament30;676;11;$(startingDate)';$(conclusionDate)';21;OPEN
TestTournament31;676;11;$(startingDate)';$(conclusionDate)';35;OPEN
TestTournament32;676;11;$(startingDate)';$(conclusionDate)';18;OPEN
TestTournament33;676;11;$(startingDate)';$(conclusionDate)';46;OPEN
